ADC|LE CASTELLET|109250|0|1|195|43246000|5805167|1391|LF
ADC|LE CASTELLET|366000|0|0|195|43246000|5805167|0|LF
ADF|ARKADELPHIA|275000|0|0|195|34055606|-93105203|0|K4
ADG|ADRIAN|278000|0|0|195|41869981|-84077481|0|K5
ADH|ADA|117800|1|1|195|34802556|-96670083|987|K4
ADK|MOUNT MOFFETT|114000|0|1|195|51871295|-176674097|332|PA
ADK|MOUNT MOFFETT|530000|0|0|195|51871897|-176676008|0|PA
ADL|SOCHI|112700|1|1|195|43454472|39962111|98|UR
ADM|ADAM|115550|1|1|195|22510250|57360667|1077|OO
ADM|AL-MASSIRA AGADIR|117200|1|1|195|30321945|-9383472|299|GM
ADM|ARDMORE|116700|1|1|195|34211586|-97168228|937|K4
ADN|ROBERTO MONTERRY|115400|1|1|195|25865442|-100238794|1474|MM
ADN|ADANA|395000|0|0|195|36970889|35261611|0|LT
ADN|ABERDEEN|114300|1|1|195|57310450|-2267208|600|EG
ADO|PUERTO DESEADO|210000|0|0|195|-47733333|-65909445|0|SA
ADR|ADRAR|112600|1|1|195|27817039|-205867|952|DA
ADR|ADRAR|340000|0|0|195|27833389|-194778|0|DA
ADS|ADDIS ADDIS ABEBA|112900|1|1|195|8975042|38799400|7656|HA
ADV|ABU DHABI|114250|1|1|195|24418964|54673245|109|OM
ADV|ADVENT SVALBARD|326000|0|0|195|78176808|16012508|0|EN
ADW|ANDREWS CAMP SPRINGS|113100|1|1|195|38807220|-76866256|263|K6
ADX|ANDRAITX|384000|0|0|195|39549445|2395861|0|LE
AE|JORGE NEWBERY AEROPARQUE|109500|0|1|195|-34556197|-58423192|52|SA
AE|DUDLE ALBUQUERQUE|351000|0|0|195|35217372|-106712795|0|K2
AE|AALBORG|109900|0|1|195|57097278|9872742|19|EK
AEA|SOUTH HILL|373000|0|0|195|36614520|-78053167|0|K6
AEA|ALGHERO|111650|1|1|195|40638167|8291778|102|LI
AEL|ALBERT LEA|109800|1|1|195|43681736|-93370756|1252|K3
AES|NABESNA NORTHWAY|390000|0|0|195|62965611|-141888614|0|PA
AEX|ALEXANDRIA|116100|1|1|195|31256728|-92500975|80|K4
AF|ARCHERFIELD BRISBANE|419000|0|0|195|-27570000|153016667|0|YB
AFE|KAKE|114400|0|1|195|56963917|-133911889|170|PA
AFE|KAKE|223000|0|0|195|56963917|-133911889|0|PA
AFI|AFFLIGEM|114900|1|1|195|50907778|4138889|291|EB
AFK|NEBRASKA CITY|347000|0|0|195|40605361|-95860956|0|K3
